work_id,work,title,folder_path,documents,fallback_document_ids,missing_work_ids,sample_path
76620,欽定古今圖書集成,欽定古今圖書集成,中國漢文/clean/清朝/大清/欽定古今圖書集成,9879,9879,0,中國漢文/clean/清朝/大清/欽定古今圖書集成/欽定古今圖書集成_juan_0001.txt
69565,永樂大典,永樂大典,中國漢文/clean/明朝/大明/永樂大典,1580,1580,0,中國漢文/clean/明朝/大明/永樂大典/永樂大典__juan_01.txt
8563,全唐文,全唐文,中國漢文/clean/唐朝/全唐文,990,990,0,中國漢文/clean/唐朝/全唐文/全唐文__juan_01.txt
74786,全唐詩,全唐詩,中國漢文/clean/清朝/大清/全唐詩,898,898,0,中國漢文/clean/清朝/大清/全唐詩/全唐詩__juan_01.txt
8564,全唐詩,全唐詩,中國漢文/clean/唐朝/全唐詩,338,338,0,中國漢文/clean/唐朝/全唐詩/全唐詩__juan_01.txt
51009,冊府元龜,冊府元龜,中國漢文/clean/宋朝/北宋/冊府元龜,49,49,0,中國漢文/clean/宋朝/北宋/冊府元龜/冊府元龜__juan_01.txt
5445,國語,國語,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語,21,21,0,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_01.txt
(missing),卷第十七,亂曰,中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十七,1,1,1,中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十七/亂曰.txt
(missing),卷第十五,亂曰,中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十五,1,1,1,中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十五/亂曰.txt
74785,全唐文,全唐文,中國漢文/clean/清朝/大清/全唐文,1,1,0,中國漢文/clean/清朝/大清/全唐文/全唐文__juan_01.txt
75266,四庫全書,四庫全書,中國漢文/clean/清朝/大清/四庫全書,1,1,0,中國漢文/clean/清朝/大清/四庫全書/四庫全書__juan_01.txt
